Name,Year Membership
Abhisit Vejjajiva,2005
Aboubakr Jamai,2005
Achinoam Nini,2005
Aditya Mittal,2005
Aerin Lauder,2005
Afshin Molavi,2005
Ainars Slesers,2005
Alejandro Ramirez,2005
Ali Babacan,2005
Ali Y. Koá,2005
Alja Brglez,2005
Alvaro Rodriguez Arregui,2005
Amy Butte,2005
Andrea Guerra,2005
?ngel Cabrera,2005
Angela Belcher,2005
Anne Richards,2005
Anthony F. Fernandes,2005
Anthony Kennedy Shriver,2005
Arkady Dvorkovich,2005
Arzuhan Yaláindag,2005
Asoka Milinda Moragoda,2005
Assilah Z. Al-Harthy,2005
Austan Goolsbee,2005
Axel Miller,2005
Ayisi Makatiani,2005
Bandar Bin Khalid Al Faisal,2005
Barry Appleton,2005
Bassem I. Awadallah,2005
Beatrice Trussardi,2005
Beatrice Weder di Mauro,2005
Belinda Stronach,2005
Bharrat Jagdeo,2005
Bill Nguyen,2005
Bjorn Lomborg,2005
Bozidar Djelic,2005
Bret Stephens,2005
Brian Kagoro,2005
Carlos Danel,2005
Charlene Begley,2005
Charles C.Y. Zhang,2005
Christian Mumenthaler,2005
Chrystia Freeland,2005
Clayton Cosgrove,2005
Curtis Nelson,2005
Daniela Mercury,2005
David Webb,2005
Dayanidhi Maran,2005
Dikembe Mutombo,2005
Dina Habib Powell,2005
Domenico Scala,2005
Donald A. Mattrick,2005
Ed Mayo,2005
Edward Balls,2005
El°as Antonio Saca,2005
Erik Demaine,2005
Esam Janahi,2005
Ethan Zuckerman,2005
Fang Xinghai,2005
Fareed Zakaria,2005
Fatemeh Haghighat-Joo,2005
Federico Sturzenegger,2005
Ferit ?ahenk,2005
Frederik of Denmark,2005
Gabriel Chalita,2005
Gaby Lasky,2005
Gavin Newsom,2005
Georges Kern,2005
Godwin N. Obaseki,2005
Gugu Moloi,2005
Guichot,2005
Haakon Magnus of Norway,2005
Heba R. Ezzat,2005
Helen Greiner,2005
Hiroshi Mikitani,2005
Hiroshi Nakada,2005
Howard I. Hoffen,2005
Ibrahim Helal,2005
Isabelle Guichot,2005
Jacek Szwajcowski,2005
Jack Ma,2005
Jackie Y. Ying,2005
Jae-Woong Lee,2005
James Bradfield Moody,2005
James Ding,2005
James Kondo,2005
Jan-Eric Peters,2005
Javier Martinez Staines,2005
Jean-Charles Decaux,2005
Jennifer Corriero,2005
Jerry Yang,2005
Jihyun Julianne Lee,2005
Jillian Buriak,2005
Jodi Kantor,2005
John Battelle,2005
John Bryant,2005
John E. Sununu,2005
John Githongo,2005
John Wood,2005
Jon S. Tetzchner,2005
Jonathan Oppenheimer,2005
Jonathan Soros,2005
Jonathan Zittrain,2005
Josef Penninger,2005
Juan Jose Nieto,2005
Juhan Parts,2005
Julia Ormond,2005
Jungwook Hong,2005
Justin Fox,2005
Justin Trudeau,2005
Jyrki Katainen,2005
Karim T. Kawar,2005
Kazutomo Robert Hori,2005
Keiichiro Asao,2005
Keith Schwab,2005
Ken Wiwa,2005
Kristin Forbes,2005
Kumar Mangalam Birla,2005
Kumi Naidoo,2005
LaMae Allen deJongh,2005
Larry Page,2005
Laurent Guez,2005
Leonid Bershidsky,2005
Lianjie Ma,2005
Lifen Wang,2005
Lily Habash,2005
Linda Rottenberg,2005
Lisa Caputo,2005
Loãc Le Meur,2005
Lorenzo Mendoza,2005
Louise Leakey,2005
Lu Hao,2005
Lucas E. Pescarmona,2005
Luis M. Saguier,2005
Lujaina Mohsin Haider Darwish,2005
Mabel van Oranje,2005
Mahmoud Safwat Mohieldin,2005
Majid Saif Al-Ghurair,2005
Malvinder Mohan Singh,2005
Marc R. Benioff,2005
Marcel S. Reichart,2005
Maria Consuelo Araujo,2005
Maria Corina Machado,2005
Mark P. Mays,2005
Martin South,2005
Matteo Arpe,2005
Matthew Anderson,2005
Matthew Bishop,2005
Mellody Hobson,2005
Michael Kremer,2005
Michael Tarazi,2005
Michelle Guthrie,2005
Miguel R. Forbes,2005
Mi-Hyung Kim,2005
Mikheil Saakashvili,2005
Milen Veltchev,2005
Misa Matsuzaki,2005
Mitsuru Claire Chino,2005
Mohammed K. A. Al Faisal,2005
Motohisa Furukawa,2005
Nafisa Shah,2005
Naguib Kheraj,2005
Nasreen Mustafa Sideek-Barwari,2005
Nathaniel Rothschild,2005
Nazir Razak,2005
Ndidi Okonkwo Nwuneli,2005
Niall Ferguson,2005
Nicky Newton-King,2005
Nicolas Monckeberg,2005
Nigel M.K. Chanakira,2005
Niklas Zennstrîm,2005
Nobuo Domae,2005
Noreena Hertz,2005
Nurul Arifin,2005
Olga K. Dergunova,2005
Oliver Samwer,2005
Olivier Sichel,2005
Pandeli Majko,2005
Papa Ndiaye,2005
Patrick G. Ryan,2005
Paul Meyer,2005
Pawel Bartlomiej Piskorski,2005
Pekka Himanen,2005
Penny Low,2005
Piia-Noora Kauppi,2005
Radmila Sekerinska,2005
Rahul Gandhi,2005
Rajiv Bajaj,2005
Rodrigo Baggio,2005
Roy Brandon Burgess,2005
Sabriye Tenberken,2005
Sahar Hashemi,2005
Salaheddin Al-Bashir,2005
Sallie Krawcheck,2005
Samantha Power,2005
Sandile Zungu,2005
Scott Brison,2005
Sebastian Palla,2005
Sergey Brin,2005
Shai Agassi,2005
Silvana Koch-Mehrin,2005
Stelios Haji-Ioannou,2005
Steve Jurvetson,2005
Steven Cain,2005
Steven Levitt,2005
Stig Leschly,2005
Sulajja F. Firodia Motwani,2005
Suzanne Donohoe,2005
Sylvia Mathews,2005
Taddy Blecher,2005
Taek-Jin Kim,2005
Tan Cheng Han,2005
Ted Halstead,2005
Thoko Didiza,2005
Thomas Crampton,2005
Thor Bjorgolfsson,2005
Tianqiao Chen,2005
